frame,video,0,0,-309,-0.030900,-1974,-0.197400,-309,-0.030900,N/A,N/A,76193,26486,1920,1080,yuv420p,1:1,P,1,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,0,0.000000,-1651,-0.165100,0,0.000000,N/A,N/A,102679,23458,1920,1080,yuv420p,1:1,P,2,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,294,0.029400,-1366,-0.136600,294,0.029400,N/A,N/A,126137,22351,1920,1080,yuv420p,1:1,P,3,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,588,0.058800,-1084,-0.108400,588,0.058800,N/A,N/A,148488,21712,1920,1080,yuv420p,1:1,P,4,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,980,0.098000,-639,-0.063900,980,0.098000,N/A,N/A,170200,28273,1920,1080,yuv420p,1:1,P,5,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,1263,0.126300,-292,-0.029200,1263,0.126300,N/A,N/A,198473,29058,1920,1080,yuv420p,1:1,P,6,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,1572,0.157200,-32,-0.003200,1572,0.157200,N/A,N/A,227531,40723,1920,1080,yuv420p,1:1,P,7,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,1886,0.188600,298,0.029800,1886,0.188600,N/A,N/A,268254,41188,1920,1080,yuv420p,1:1,P,8,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,2189,0.218900,618,0.061800,2189,0.218900,N/A,N/A,309442,41143,1920,1080,yuv420p,1:1,P,9,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,2563,0.256300,1081,0.108100,2563,0.256300,N/A,N/A,350585,41676,1920,1080,yuv420p,1:1,P,10,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,2866,0.286600,1345,0.134500,2866,0.286600,N/A,N/A,392261,41613,1920,1080,yuv420p,1:1,P,11,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,3288,0.328800,1708,0.170800,3288,0.328800,N/A,N/A,433874,41842,1920,1080,yuv420p,1:1,P,12,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,3518,0.351800,1943,0.194300,3518,0.351800,N/A,N/A,475716,41442,1920,1080,yuv420p,1:1,P,13,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,3870,0.387000,2263,0.226300,3870,0.387000,N/A,N/A,517158,41586,1920,1080,yuv420p,1:1,P,14,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,4216,0.421600,2583,0.258300,4216,0.421600,N/A,N/A,558744,29881,1920,1080,yuv420p,1:1,P,15,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,1,4653,0.465300,3209,0.320900,4653,0.465300,N/A,N/A,588625,91532,1920,1080,yuv420p,1:1,I,16,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,4925,0.492500,3330,0.333000,4925,0.492500,N/A,N/A,680157,46730,1920,1080,yuv420p,1:1,P,17,0,0,0,0,unknown,unknown,unknown,unknown,left
frame,video,0,0,5203,0.520300,3598,0.359800,5203,0.520300,N/A,N/A,726887,31292,1920,1080,yuv420p,1:1,P,18,0,0,0,0,unknown,unknown,unknown,unknown,left
